"Sample Name"	"Protocol REF"	"Parameter Value[randomized preparation number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[aliquot number]"	"Term Source REF"	"Term Accession Number"	"Comment[EI analysis notes]"	"Comment[GC analysis notes]"	"Comment[preparation notes]"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[randomized analysis order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[block]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Index]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[index of position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order old]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[session]"	"Term Source REF"	"Term Accession Number"	"Factor Value[regimen]"	"Term Source REF"	"Term Accession Number"	"Comment[regimen]"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[day]"	"Term Source REF"	"Term Accession Number"	"Factor Value[volunteer number]"	"Term Source REF"	"Term Accession Number"
"23"	"LCMS preparation"	"267"	""	""	""	""	""	""	""	""	"1405A023"	"1405A023"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"23"	""	""	"1"	""	""	"32"	""	""	"44"	""	""	"29"	""	""	"39"	""	""	"negative mode"	""	""	"1405A023"	"GSK_neg_block2_22r.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"5"	"hour"	""	""	"1"	""	""	"14"	""	""
"273"	"LCMS preparation"	"211"	""	""	""	""	""	""	""	""	"1505B273"	"1505B273"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"273"	""	""	"4"	""	""	"355"	""	""	"689"	""	""	"351"	""	""	"83"	""	""	"negative mode"	""	""	"1505B273"	"GSK_neg_block4_15.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"5"	"hour"	""	""	"1"	""	""	"15"	""	""
"197"	"LCMS preparation"	"104"	""	""	"3"	""	""	""	""	""	"0105D197"	"0105D197"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"197"	""	""	"3"	""	""	"257"	""	""	"484"	""	""	"253"	""	""	"78"	""	""	"negative mode"	""	""	"0105D197"	"GSK_neg_block2_51r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"5"	"hour"	""	""	"1"	""	""	"1"	""	""
"143"	"LCMS preparation"	"154"	""	""	"3"	""	""	""	""	""	"0205D143"	"0205D143"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"143"	""	""	"2"	""	""	"95"	""	""	"210"	""	""	"182"	""	""	"100"	""	""	"negative mode"	""	""	"0205D143"	"GSK_neg_block2_70r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"5"	"hour"	""	""	"1"	""	""	"2"	""	""
"261"	"LCMS preparation"	"184"	""	""	""	""	""	""	""	""	"0605C261"	"0605C261"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"261"	""	""	"4"	""	""	"340"	""	""	"674"	""	""	"336"	""	""	"68"	""	""	"negative mode"	""	""	"0605C261"	"GSK_neg_block4_45.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"5"	"hour"	""	""	"1"	""	""	"6"	""	""
"44"	"LCMS preparation"	"9"	""	""	""	""	""	""	""	""	"0705B044"	"0705B044"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"44"	""	""	"1"	""	""	"58"	""	""	"70"	""	""	"55"	""	""	"65"	""	""	"negative mode"	""	""	"0705B044"	"GSK_neg_block2_96r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"5"	"hour"	""	""	"1"	""	""	"7"	""	""
"89"	"LCMS preparation"	"158"	""	""	""	""	""	""	""	""	"0805B089"	"0805B089"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"89"	""	""	"2"	""	""	"119"	""	""	"239"	""	""	"115"	""	""	"33"	""	""	"negative mode"	""	""	"0805B089"	"GSK_neg_block1_49r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"5"	"hour"	""	""	"1"	""	""	"8"	""	""
"189"	"LCMS preparation"	"190"	""	""	""	""	""	""	""	""	"1008D189"	"1008D189"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"189"	""	""	"3"	""	""	"247"	""	""	"474"	""	""	"243"	""	""	"68"	""	""	"negative mode"	""	""	"1008D189"	"GSK_neg_block3_78.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"8"	"hour"	""	""	"1"	""	""	"10"	""	""
"283"	"LCMS preparation"	"3"	""	""	""	""	""	""	""	""	"1408A283"	"1408A283"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"283"	""	""	"4"	""	""	"367"	""	""	"701"	""	""	"363"	""	""	"95"	""	""	"negative mode"	""	""	"1408A283"	"GSK_neg_block2_80r.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"8"	"hour"	""	""	"1"	""	""	"14"	""	""
"234"	"LCMS preparation"	"162"	""	""	""	""	""	""	""	""	"1508B234"	"1508B234"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"234"	""	""	"4"	""	""	"306"	""	""	"640"	""	""	"302"	""	""	"34"	""	""	"negative mode"	""	""	"1508B234"	"GSK_neg_block3_36.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"8"	"hour"	""	""	"1"	""	""	"15"	""	""
"127"	"LCMS preparation"	"125"	""	""	"3"	""	""	""	""	""	"0108D127"	"0108D127"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"127"	""	""	"2"	""	""	"166"	""	""	"286"	""	""	"162"	""	""	"80"	""	""	"negative mode"	""	""	"0108D127"	"GSK_neg_block1_43r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"8"	"hour"	""	""	"1"	""	""	"1"	""	""
"113"	"LCMS preparation"	"288"	""	""	"3"	""	""	""	""	""	"0208D113"	"0208D113"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"113"	""	""	"2"	""	""	"149"	""	""	"269"	""	""	"145"	""	""	"63"	""	""	"negative mode"	""	""	"0208D113"	"GSK_neg_block1_60r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"8"	"hour"	""	""	"1"	""	""	"2"	""	""
"66"	"LCMS preparation"	"69"	""	""	"3"	""	""	""	""	""	"0608C066"	"0608C066"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"66"	""	""	"1"	""	""	"86"	""	""	"98"	""	""	"83"	""	""	"93"	""	""	"negative mode"	""	""	"0608C066"	"GSK_neg_block2_66r.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"8"	"hour"	""	""	"1"	""	""	"6"	""	""
"223"	"LCMS preparation"	"233"	""	""	""	""	""	""	""	"haemolysis"	"0708B223"	"0708B223"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"223"	""	""	"4"	""	""	"292"	""	""	"625"	""	""	"288"	""	""	"19"	""	""	"negative mode"	""	""	"0708B223"	"GSK_neg_block1_74r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"8"	"hour"	""	""	"1"	""	""	"7"	""	""
"69"	"LCMS preparation"	"239"	""	""	""	""	""	""	""	""	"0808B069"	"0808B069"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"69"	""	""	"1"	""	""	"90"	""	""	"102"	""	""	"87"	""	""	"97"	""	""	"negative mode"	""	""	"0808B069"	"GSK_neg_block1_32r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"8"	"hour"	""	""	"1"	""	""	"8"	""	""
"145"	"LCMS preparation"	"95"	""	""	""	""	""	""	""	""	"0908B145"	"0908B145"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"145"	""	""	"3"	""	""	"192"	""	""	"418"	""	""	"188"	""	""	"12"	""	""	"negative mode"	""	""	"0908B145"	"GSK_neg_block2_58r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"8"	"hour"	""	""	"1"	""	""	"9"	""	""
"57"	"LCMS preparation"	"193"	""	""	""	""	""	""	""	""	"1012D057"	"1012D057"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"57"	""	""	"1"	""	""	"75"	""	""	"87"	""	""	"72"	""	""	"82"	""	""	"negative mode"	""	""	"1012D057"	"GSK_neg_block3_59.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"12"	"hour"	""	""	"1"	""	""	"10"	""	""
"48"	"LCMS preparation"	"176"	""	""	""	""	""	""	""	""	"1412A048"	"1412A048"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"48"	""	""	"1"	""	""	"63"	""	""	"75"	""	""	"60"	""	""	"70"	""	""	"negative mode"	""	""	"1412A048"	"GSK_neg_block4_22.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"12"	"hour"	""	""	"1"	""	""	"14"	""	""
"52"	"LCMS preparation"	"45"	""	""	""	""	""	""	""	""	"1512B052"	"1512B052"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"52"	""	""	"1"	""	""	"68"	""	""	"80"	""	""	"65"	""	""	"75"	""	""	"negative mode"	""	""	"1512B052"	"GSK_neg_block2_69r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"12"	"hour"	""	""	"1"	""	""	"15"	""	""
"164"	"LCMS preparation"	"218"	""	""	""	""	""	""	""	""	"0112D164"	"0112D164"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"164"	""	""	"3"	""	""	"215"	""	""	"442"	""	""	"211"	""	""	"36"	""	""	"negative mode"	""	""	"0112D164"	"GSK_neg_block1_54r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"12"	"hour"	""	""	"1"	""	""	"1"	""	""
"284"	"LCMS preparation"	"219"	""	""	"3"	""	""	""	""	""	"0212D284"	"0212D284"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"284"	""	""	"4"	""	""	"368"	""	""	"702"	""	""	"364"	""	""	"96"	""	""	"negative mode"	""	""	"0212D284"	"GSK_neg_block4_51.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"12"	"hour"	""	""	"1"	""	""	"2"	""	""
"267"	"LCMS preparation"	"57"	""	""	""	""	""	""	""	""	"0612C267"	"0612C267"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"267"	""	""	"4"	""	""	"347"	""	""	"681"	""	""	"343"	""	""	"75"	""	""	"negative mode"	""	""	"0612C267"	"GSK_neg_block3_94.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"12"	"hour"	""	""	"1"	""	""	"6"	""	""
"205"	"LCMS preparation"	"83"	""	""	""	""	""	""	""	""	"0712B205"	"0712B205"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"205"	""	""	"3"	""	""	"267"	""	""	"494"	""	""	"263"	""	""	"88"	""	""	"negative mode"	""	""	"0712B205"	"GSK_neg_block4_59.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"12"	"hour"	""	""	"1"	""	""	"7"	""	""
"134"	"LCMS preparation"	"107"	""	""	""	""	""	""	""	""	"0812B134"	"0812B134"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"134"	""	""	"2"	""	""	"175"	""	""	"295"	""	""	"171"	""	""	"89"	""	""	"negative mode"	""	""	"0812B134"	"GSK_neg_block3_86.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"12"	"hour"	""	""	"1"	""	""	"8"	""	""
"191"	"LCMS preparation"	"120"	""	""	""	""	""	""	""	"haemolysis"	"0912B191"	"0912B191"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"191"	""	""	"3"	""	""	"249"	""	""	"476"	""	""	"245"	""	""	"70"	""	""	"negative mode"	""	""	"0912B191"	"GSK_neg_block1_18r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"12"	"hour"	""	""	"1"	""	""	"9"	""	""
"201"	"LCMS preparation"	"276"	""	""	"3"	""	""	""	""	""	"1016D201"	"1016D201"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"201"	""	""	"3"	""	""	"262"	""	""	"489"	""	""	"258"	""	""	"83"	""	""	"negative mode"	""	""	"1016D201"	"GSK_neg_block4_93.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"16"	"hour"	""	""	"1"	""	""	"10"	""	""
"274"	"LCMS preparation"	"92"	""	""	""	""	""	""	""	""	"1416A274"	"1416A274"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"274"	""	""	"4"	""	""	"356"	""	""	"690"	""	""	"352"	""	""	"84"	""	""	"negative mode"	""	""	"1416A274"	"GSK_neg_block4_88.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"16"	"hour"	""	""	"1"	""	""	"14"	""	""
"160"	"LCMS preparation"	"133"	""	""	""	""	""	""	""	""	"1516B160"	"1516B160"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"160"	""	""	"3"	""	""	"210"	""	""	"436"	""	""	"206"	""	""	"30"	""	""	"negative mode"	""	""	"1516B160"	"GSK_neg_block1_14r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"16"	"hour"	""	""	"1"	""	""	"15"	""	""
"26"	"LCMS preparation"	"170"	""	""	""	""	""	""	""	""	"0116D026"	"0116D026"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"26"	""	""	"1"	""	""	"36"	""	""	"48"	""	""	"33"	""	""	"43"	""	""	"negative mode"	""	""	"0116D026"	"GSK_neg_block3_19.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"16"	"hour"	""	""	"1"	""	""	"1"	""	""
"249"	"LCMS preparation"	"53"	""	""	""	""	""	""	""	""	"0216D249"	"0216D249"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"249"	""	""	"4"	""	""	"325"	""	""	"659"	""	""	"321"	""	""	"53"	""	""	"negative mode"	""	""	"0216D249"	"GSK_neg_block2_74r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"16"	"hour"	""	""	"1"	""	""	"2"	""	""
"43"	"LCMS preparation"	"113"	""	""	"3"	""	""	""	""	""	"0616C043"	"0616C043"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"43"	""	""	"1"	""	""	"57"	""	""	"69"	""	""	"54"	""	""	"64"	""	""	"negative mode"	""	""	"0616C043"	"GSK_neg_block3_25.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"16"	"hour"	""	""	"1"	""	""	"6"	""	""
"36"	"LCMS preparation"	"178"	""	""	"3"	""	""	""	""	""	"0716B036"	"0716B036"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"36"	""	""	"1"	""	""	"48"	""	""	"60"	""	""	"45"	""	""	"55"	""	""	"negative mode"	""	""	"0716B036"	"GSK_neg_block3_38.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"16"	"hour"	""	""	"1"	""	""	"7"	""	""
"58"	"LCMS preparation"	"183"	""	""	"3"	""	""	""	""	""	"0816B058"	"0816B058"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"58"	""	""	"1"	""	""	"76"	""	""	"88"	""	""	"73"	""	""	"83"	""	""	"negative mode"	""	""	"0816B058"	"GSK_neg_block4_65.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"16"	"hour"	""	""	"1"	""	""	"8"	""	""
"142"	"LCMS preparation"	"132"	""	""	""	""	""	""	""	"haemolysis"	"0916B142"	"0916B142"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"142"	""	""	"2"	""	""	"185"	""	""	"305"	""	""	"181"	""	""	"99"	""	""	"negative mode"	""	""	"0916B142"	"GSK_neg_block2_29r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"16"	"hour"	""	""	"1"	""	""	"9"	""	""
"99"	"LCMS preparation"	"110"	""	""	""	""	""	""	""	""	"1024D099"	"1024D099"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"99"	""	""	"2"	""	""	"131"	""	""	"251"	""	""	"127"	""	""	"45"	""	""	"negative mode"	""	""	"1024D099"	"GSK_neg_block3_101.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"24"	"hour"	""	""	"1"	""	""	"10"	""	""
"15"	"LCMS preparation"	"179"	""	""	"3"	""	""	""	""	""	"1424A015"	"1424A015"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"15"	""	""	"1"	""	""	"22"	""	""	"33"	""	""	"19"	""	""	"28"	""	""	"negative mode"	""	""	"1424A015"	"GSK_neg_block3_76.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"24"	"hour"	""	""	"1"	""	""	"14"	""	""
"190"	"LCMS preparation"	"74"	""	""	""	""	""	""	""	""	"1524B190"	"1524B190"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"190"	""	""	"3"	""	""	"248"	""	""	"475"	""	""	"244"	""	""	"69"	""	""	"negative mode"	""	""	"1524B190"	"GSK_neg_block2_91r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"24"	"hour"	""	""	"1"	""	""	"15"	""	""
"40"	"LCMS preparation"	"174"	""	""	""	""	""	""	""	""	"0124D040"	"0124D040"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"40"	""	""	"1"	""	""	"53"	""	""	"65"	""	""	"50"	""	""	"60"	""	""	"negative mode"	""	""	"0124D040"	"GSK_neg_block2_24r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"24"	"hour"	""	""	"1"	""	""	"1"	""	""
"162"	"LCMS preparation"	"160"	""	""	"3"	""	""	""	""	""	"0224D162"	"0224D162"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"162"	""	""	"3"	""	""	"213"	""	""	"440"	""	""	"209"	""	""	"34"	""	""	"negative mode"	""	""	"0224D162"	"GSK_neg_block4_64.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"24"	"hour"	""	""	"1"	""	""	"2"	""	""
"244"	"LCMS preparation"	"25"	""	""	""	""	""	""	""	""	"0624C244"	"0624C244"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"244"	""	""	"4"	""	""	"318"	""	""	"652"	""	""	"314"	""	""	"46"	""	""	"negative mode"	""	""	"0624C244"	"GSK_neg_block2_100r.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"24"	"hour"	""	""	"1"	""	""	"6"	""	""
"135"	"LCMS preparation"	"169"	""	""	""	""	""	""	""	"haemolysis"	"0724B135"	"0724B135"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"135"	""	""	"2"	""	""	"176"	""	""	"296"	""	""	"172"	""	""	"90"	""	""	"negative mode"	""	""	"0724B135"	"GSK_neg_block2_63r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"24"	"hour"	""	""	"1"	""	""	"7"	""	""
"86"	"LCMS preparation"	"200"	""	""	""	""	""	""	""	""	"0824B086"	"0824B086"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"86"	""	""	"2"	""	""	"115"	""	""	"234"	""	""	"111"	""	""	"28"	""	""	"negative mode"	""	""	"0824B086"	"GSK_neg_block4_96.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"24"	"hour"	""	""	"1"	""	""	"8"	""	""
"178"	"LCMS preparation"	"275"	""	""	""	""	""	""	""	""	"0924B178"	"0924B178"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"178"	""	""	"3"	""	""	"233"	""	""	"460"	""	""	"229"	""	""	"54"	""	""	"negative mode"	""	""	"0924B178"	"GSK_neg_block4_53.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"24"	"hour"	""	""	"1"	""	""	"9"	""	""
"1"	"LCMS preparation"	"18"	""	""	""	""	""	""	""	""	"1000C001"	"1000C001"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"1"	""	""	"1"	""	""	"6"	""	""	"17"	""	""	"3"	""	""	"12"	""	""	"negative mode"	""	""	"1000C001"	"GSK_neg_block3_34.cdf"	"3"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"10"	""	""
"38"	"LCMS preparation"	"277"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"1400B038"	"1400B038"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"38"	""	""	"1"	""	""	"51"	""	""	"63"	""	""	"48"	""	""	"58"	""	""	"negative mode"	""	""	"1400B038"	"GSK_neg_block2_83r.cdf"	"3"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"14"	""	""
"252"	"LCMS preparation"	"81"	""	""	""	""	""	""	""	""	"1500A252"	"1500A252"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"252"	""	""	"4"	""	""	"328"	""	""	"662"	""	""	"324"	""	""	"56"	""	""	"negative mode"	""	""	"1500A252"	"GSK_neg_block1_72r.cdf"	"3"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"15"	""	""
"116"	"LCMS preparation"	"75"	""	""	""	""	""	""	""	""	"0100C116"	"0100C116"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"116"	""	""	"2"	""	""	"152"	""	""	"272"	""	""	"148"	""	""	"66"	""	""	"negative mode"	""	""	"0100C116"	"GSK_neg_block2_15r.cdf"	"3"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"1"	""	""
"129"	"LCMS preparation"	"85"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"0200B129"	"0200B129"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"129"	""	""	"2"	""	""	"169"	""	""	"289"	""	""	"165"	""	""	"83"	""	""	"negative mode"	""	""	"0200B129"	"GSK_neg_block3_29.cdf"	"3"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"2"	""	""
"245"	"LCMS preparation"	"90"	""	""	""	""	""	""	""	""	"0600A245"	"0600A245"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"245"	""	""	"4"	""	""	"320"	""	""	"654"	""	""	"316"	""	""	"48"	""	""	"negative mode"	""	""	"0600A245"	"GSK_neg_block2_50r.cdf"	"3"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"6"	""	""
"228"	"LCMS preparation"	"207"	""	""	""	""	""	""	""	""	"0700A228"	"0700A228"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"228"	""	""	"4"	""	""	"298"	""	""	"631"	""	""	"294"	""	""	"25"	""	""	"negative mode"	""	""	"0700A228"	"GSK_neg_block3_55.cdf"	"3"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"7"	""	""
"68"	"LCMS preparation"	"166"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"0800D068"	"0800D068"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"68"	""	""	"1"	""	""	"88"	""	""	"100"	""	""	"85"	""	""	"95"	""	""	"negative mode"	""	""	"0800D068"	"GSK_neg_block4_98.cdf"	"3"	""	""	"no food intake; no exercise"	""	""	"D"	"0"	"hour"	""	""	"1"	""	""	"8"	""	""
